INFO buildroot.py:488:  Mock Version: 2.9
DEBUG util.py:446:  freetype-2.10.4-3.fc34.x86_64
DEBUG util.py:446:  grub2-tools-extra-2.06~rc1-7.fc35.x86_64
DEBUG util.py:446:  rpm-build-4.16.90-0.git15395.5.fc35.x86_64
DEBUG util.py:446:  grubby-8.40-52.fc35.x86_64
DEBUG util.py:446:  grub2-tools-efi-2.06~rc1-7.fc35.x86_64
DEBUG util.py:446:  kbd-2.4.0-4.fc35.x86_64
DEBUG util.py:446:  libxcrypt-compat-4.4.20-2.fc35.x86_64
DEBUG util.py:446:  shadow-utils-4.8.1-9.fc35.x86_64
DEBUG util.py:446:  openssl-pkcs11-0.4.11-3.fc35.x86_64
DEBUG util.py:446:  libxkbcommon-1.3.0-1.fc35.x86_64
DEBUG util.py:446:  libgcrypt-1.9.3-2.fc35.x86_64
DEBUG util.py:446:  go-srpm-macros-3.0.10-1.fc35.noarch
DEBUG util.py:446:  ncurses-base-6.2-6.20210501.fc35.noarch
DEBUG util.py:446:  ncurses-libs-6.2-6.20210501.fc35.x86_64
DEBUG util.py:446:  which-2.21-26.fc35.x86_64
DEBUG util.py:446:  krb5-libs-1.19.1-5.fc35.x86_64
DEBUG util.py:446:  harfbuzz-2.8.1-1.fc35.x86_64
DEBUG util.py:446:  efi-srpm-macros-5-2.fc35.noarch
